,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rating
"b""You're the Inspiration""",0.604,0.579,11,-7.252,1,0.0285,0.369,0.0,0.0876,0.377,73.911,audio_features,1sUQJeihi2iSAQOXtxRjkz,spotify:track:1sUQJeihi2iSAQOXtxRjkz,https://api.spotify.com/v1/tracks/1sUQJeihi2iSAQOXtxRjkz,https://api.spotify.com/v1/audio-analysis/1sUQJeihi2iSAQOXtxRjkz,230737,4,1
b'Never Gonna Let You Go',0.639,0.403,7,-12.401,1,0.0349,0.567,0.0,0.67,0.324,132.56,audio_features,5u8bqfaYSh0qVTsgslPknf,spotify:track:5u8bqfaYSh0qVTsgslPknf,https://api.spotify.com/v1/tracks/5u8bqfaYSh0qVTsgslPknf,https://api.spotify.com/v1/audio-analysis/5u8bqfaYSh0qVTsgslPknf,255600,4,1
b'Africa',0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4,1
b'Overjoyed',0.221,0.264,10,-17.533,1,0.0332,0.541,0.0,0.148,0.169,83.128,audio_features,2lnQcP5hr4RKR63TFvnI4k,spotify:track:2lnQcP5hr4RKR63TFvnI4k,https://api.spotify.com/v1/tracks/2lnQcP5hr4RKR63TFvnI4k,https://api.spotify.com/v1/audio-analysis/2lnQcP5hr4RKR63TFvnI4k,222586,4,1
b'Right Down the Line',0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,audio_features,2Xb6wJYGi0QXwURw5WWvI5,spotify:track:2Xb6wJYGi0QXwURw5WWvI5,https://api.spotify.com/v1/tracks/2Xb6wJYGi0QXwURw5WWvI5,https://api.spotify.com/v1/audio-analysis/2Xb6wJYGi0QXwURw5WWvI5,267773,4,1
b'Superhero',0.681,0.34,7,-8.617,1,0.0339,0.82,0.0,0.285,0.417,129.98,audio_features,1Fo4OvzP9PThFKMeMIAEYu,spotify:track:1Fo4OvzP9PThFKMeMIAEYu,https://api.spotify.com/v1/tracks/1Fo4OvzP9PThFKMeMIAEYu,https://api.spotify.com/v1/audio-analysis/1Fo4OvzP9PThFKMeMIAEYu,179998,4,1
"b""Don't Dream It's Over""",0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,audio_features,7G7tgVYORlDuVprcYHuFJh,spotify:track:7G7tgVYORlDuVprcYHuFJh,https://api.spotify.com/v1/tracks/7G7tgVYORlDuVprcYHuFJh,https://api.spotify.com/v1/audio-analysis/7G7tgVYORlDuVprcYHuFJh,236933,4,1
"b""I Don't Know You""",0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,audio_features,4cJOLN346rtOty3UPACsao,spotify:track:4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/tracks/4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/audio-analysis/4cJOLN346rtOty3UPACsao,209450,4,1
b'I Love You So',0.578,0.669,10,-4.898,1,0.0377,0.65,0.0,0.13,0.503,75.995,audio_features,1175r6ZmkUjX8dRJLz9Ohk,spotify:track:1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/tracks/1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/audio-analysis/1175r6ZmkUjX8dRJLz9Ohk,160254,4,1
b'The Most Beautiful Thing',0.806,0.362,7,-10.381,1,0.0345,0.535,0.045,0.111,0.42,127.502,audio_features,7EncNzyGs8uJiQittB38ef,spotify:track:7EncNzyGs8uJiQittB38ef,https://api.spotify.com/v1/tracks/7EncNzyGs8uJiQittB38ef,https://api.spotify.com/v1/audio-analysis/7EncNzyGs8uJiQittB38ef,235427,4,1
