,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rating
Lotus Flower Bomb (feat. Miguel),0.512,0.598,9,-4.959,0,0.115,0.611,0.0,0.0881,0.345,70.189,audio_features,3MAgQuClHcAV8E9CbeBS6f,spotify:track:3MAgQuClHcAV8E9CbeBS6f,https://api.spotify.com/v1/tracks/3MAgQuClHcAV8E9CbeBS6f,https://api.spotify.com/v1/audio-analysis/3MAgQuClHcAV8E9CbeBS6f,213253,4,1
Barbie Tingz,0.917,0.679,6,-6.083,1,0.266,0.0867,0.0,0.588,0.453,102.449,audio_features,2qsQ8eVDPmobZpvDxQCVQu,spotify:track:2qsQ8eVDPmobZpvDxQCVQu,https://api.spotify.com/v1/tracks/2qsQ8eVDPmobZpvDxQCVQu,https://api.spotify.com/v1/audio-analysis/2qsQ8eVDPmobZpvDxQCVQu,191700,4,1
16,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03,audio_features,1Is8hGpkGMiePASAxBluxM,spotify:track:1Is8hGpkGMiePASAxBluxM,https://api.spotify.com/v1/tracks/1Is8hGpkGMiePASAxBluxM,https://api.spotify.com/v1/audio-analysis/1Is8hGpkGMiePASAxBluxM,156040,4,1
How To Love,0.644,0.661,11,-6.093,1,0.0418,0.000177,5.23e-06,0.108,0.272,153.992,audio_features,5W7BcYDIaeXnpG3e39T7hJ,spotify:track:5W7BcYDIaeXnpG3e39T7hJ,https://api.spotify.com/v1/tracks/5W7BcYDIaeXnpG3e39T7hJ,https://api.spotify.com/v1/audio-analysis/5W7BcYDIaeXnpG3e39T7hJ,240307,4,1
Hate It Or Love It,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,audio_features,2wGSgTmgSF3xjRrHkTc25R,spotify:track:2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/tracks/2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/audio-analysis/2wGSgTmgSF3xjRrHkTc25R,206400,4,1
Die Hard,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,audio_features,2g6tReTlM2Akp41g0HaeXN,spotify:track:2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/tracks/2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/audio-analysis/2g6tReTlM2Akp41g0HaeXN,239027,4,0
As It Was,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4,0
Father Time (feat. Sampha),0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,audio_features,28qA8y1sz0FTuSapsCxNOG,spotify:track:28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/tracks/28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/audio-analysis/28qA8y1sz0FTuSapsCxNOG,222497,4,0
Mr. Morale,0.727,0.53,9,-8.616,1,0.312,0.283,2.76e-05,0.392,0.258,174.025,audio_features,6CmpZfKUQ2KerzBFZ3QKFr,spotify:track:6CmpZfKUQ2KerzBFZ3QKFr,https://api.spotify.com/v1/tracks/6CmpZfKUQ2KerzBFZ3QKFr,https://api.spotify.com/v1/audio-analysis/6CmpZfKUQ2KerzBFZ3QKFr,210841,3,0
Invincible (feat. Daniel Caesar),0.555,0.474,6,-11.706,0,0.0668,0.224,0.00426,0.162,0.262,134.89,audio_features,7jhxagwOk9y1HC5ciRfmkQ,spotify:track:7jhxagwOk9y1HC5ciRfmkQ,https://api.spotify.com/v1/tracks/7jhxagwOk9y1HC5ciRfmkQ,https://api.spotify.com/v1/audio-analysis/7jhxagwOk9y1HC5ciRfmkQ,216160,4,0
